"date","account","payee","notes","category","amount"
"2025-06-02","Kreditkarte","","Abrechnung vom 30.05.2025  MC Hauptkarte ?berweisungsgutschr.","","2348,90"
"2025-06-02","Kreditkarte","","CLAUDE.AI SUBSCRIPTION     USA SAN FRANCISCO          EUR             21,42      1,50% AUSLANDSUMS.     0,32Umsatz vom 29.05.2025      MC Hauptkarte Basislastschrift","","-21,74"
"2025-06-02","Kreditkarte","","PAYPAL *MARSKINOTIC        DEU 1607724592             EUR             20,50      Umsatz vom 27.05.2025      MC Hauptkarte Basislastschrift","Restaurants & Dining","-20,50"
"2025-05-28","Kreditkarte","","Baeckerei Pfrommer         DEU Pforzheim              EUR             12,95      Umsatz vom 26.05.2025      MC Hauptkarte Basislastschrift","","-12,95"
"2025-05-28","Kreditkarte","","ALDI SUeD                  DEU Calw                   EUR             34,03      Umsatz vom 26.05.2025      MC Hauptkarte Basislastschrift","Groceries","-34,03"
"2025-05-27","Kreditkarte","","PAYPAL *HELLOFRESH         DEU 35314369001            EUR             60,57      Umsatz vom 23.05.2025      MC Hauptkarte Basislastschrift","","-60,57"
"2025-05-27","Kreditkarte","","PH Central Pforzheim       DEU Pforzheim              EUR              4,40      Umsatz vom 24.05.2025      MC Hauptkarte Basislastschrift","","-4,40"
"2025-05-27","Kreditkarte","","Peter's gute Backstube     DEU Iffezheim              EUR             14,00      Umsatz vom 24.05.2025      MC Hauptkarte Basislastschrift","","-14,00"
"2025-05-27","Kreditkarte","","Oser Supermakt KG          DEU Iffezheim              EUR              8,23      Umsatz vom 24.05.2025      MC Hauptkarte Basislastschrift","","-8,23"
"2025-05-27","Kreditkarte","","Huber Hofladen             DEU Iffezheim              EUR             43,10      Umsatz vom 24.05.2025      MC Hauptkarte Basislastschrift","Taxi & Ridesharing","-43,10"
"2025-05-26","Kreditkarte","","EDEKA SUSANNE KUHNLE       DEU Niefern-oesch          EUR              5,90      Umsatz vom 22.05.2025      MC Hauptkarte Basislastschrift","Groceries","-5,90"
"2025-05-26","Kreditkarte","","EDEKA SUSANNE KUHNLE       DEU Niefern-oesch          EUR             24,34      Umsatz vom 22.05.2025      MC Hauptkarte Basislastschrift","Groceries","-24,34"
"2025-05-26","Kreditkarte","","OSIANDER 28 2              DEU Calw                   EUR             29,42      Umsatz vom 21.05.2025      MC Hauptkarte Basislastschrift","","-29,42"
"2025-05-23","Kreditkarte","","Baeckerei Pfrommer         DEU Pforzheim              EUR             14,95      Umsatz vom 21.05.2025      MC Hauptkarte Basislastschrift","","-14,95"
"2025-05-22","Kreditkarte","","AMZN Mktp DE*XL08Q9RP5     LUX 800-279-6620           EUR             22,53      Umsatz vom 20.05.2025      MC Hauptkarte Basislastschrift","","-22,53"
"2025-05-21","Kreditkarte","","PAYPAL *HELLOFRESH         DEU 35314369001            EUR             60,57      Umsatz vom 18.05.2025      MC Hauptkarte Basislastschrift","","-60,57"
"2025-05-20","Kreditkarte","","REWE Pforzheim/Nor         DEU Pforzheim              EUR             35,76      Umsatz vom 17.05.2025      MC Hauptkarte Basislastschrift","Groceries","-35,76"
"2025-05-20","Kreditkarte","","OSIANDER 28 2              DEU Calw                   EUR             44,47      Umsatz vom 15.05.2025      MC Hauptkarte Basislastschrift","","-44,47"
"2025-05-20","Kreditkarte","","BAECKEREI TOIFL            DEU PFORZHEIM              EUR             11,40      Umsatz vom 17.05.2025      MC Hauptkarte Basislastschrift","","-11,40"
"2025-05-19","Kreditkarte","","Eigenbetrieb Pforzheim     DEU 4-1000143886-          EUR             78,00      Umsatz vom 15.05.2025      MC Hauptkarte Basislastschrift","","-78,00"
"2025-05-19","Kreditkarte","","KATZ DER B CKER GMBH       DEU PFORZHEIM              EUR              9,10      Umsatz vom 15.05.2025      MC Hauptkarte Basislastschrift","","-9,10"
"2025-05-19","Kreditkarte","","MTB TANKSTELLE             DEU Bad Liebenzel          EUR             53,36      Umsatz vom 15.05.2025      MC Hauptkarte Basislastschrift","Fuel","-53,36"
"2025-05-19","Kreditkarte","","Amazon.de*8D12B0SI5        LUX AMAZON.DE              EUR             21,99      Umsatz vom 15.05.2025      MC Hauptkarte Basislastschrift","Online Shopping","-21,99"
"2025-05-19","Kreditkarte","","AMZN Mktp DE*3S5839AF5     LUX 800-279-6620           EUR              6,96      Umsatz vom 15.05.2025      MC Hauptkarte Basislastschrift","","-6,96"
"2025-05-16","Kreditkarte","","REWE Pforzheim/Nor         DEU Pforzheim              EUR             56,26      Umsatz vom 14.05.2025      MC Hauptkarte Basislastschrift","Groceries","-56,26"
